DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,salvage_price,order_cost,material_cost,num_product,sales_price,poi_mean,recourse_cost,total_budget,process_cost,mat_to_prod,num_material,purchase_yield,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",8,-0.0074280324708097525,0.14229340610312935,0.296,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",9,-0.022548442068602466,0.130967333582906,0.2,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]",20,"[1.15, 1.15, 1.2506, 1.3601]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.7672, 2.7672, 3.0093, 3.2726]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",0,-0.012441982575629916,0.16396568434088005,0.338,1,0.296,1,0.264,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]",20,"[1.15, 1.15, 1.2506, 1.3601]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.7672, 2.7672, 3.0093, 3.2726]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",1,-0.017406408651463468,0.13531354341536783,0.232,1,0.2,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]",20,"[1.15, 1.15, 1.2506, 1.3601]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.7672, 2.7672, 3.0093, 3.2726]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",2,-0.028943249671832295,0.15097472759918484,0.296,1,0.296,1,0.264,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]",20,"[1.15, 1.15, 1.2506, 1.3601]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.7672, 2.7672, 3.0093, 3.2726]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",3,-0.04117429215288519,0.1429273237708888,0.296,1,0.264,1,0.232,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]",20,"[1.15, 1.15, 1.2506, 1.3601]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.7672, 2.7672, 3.0093, 3.2726]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",4,-0.02013080195248317,0.14658033093375802,0.264,1,0.264,1,0.232,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]",20,"[1.15, 1.15, 1.2506, 1.3601]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.7672, 2.7672, 3.0093, 3.2726]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",5,0.004519025818484338,0.15900413318263204,0.296,1,0.2,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]",20,"[1.15, 1.15, 1.2506, 1.3601]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.7672, 2.7672, 3.0093, 3.2726]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",6,-0.029177110665165647,0.20493762199429122,0.264,1,0.264,1,0.232,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]",20,"[1.15, 1.15, 1.2506, 1.3601]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.7672, 2.7672, 3.0093, 3.2726]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",7,0.009458661476778653,0.15949197781329985,0.232,1,0.2,1,0.2,1,0.168,1
