DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,poi_mean,num_product,process_cost,mat_to_prod,order_cost,material_cost,purchase_yield,num_material,total_budget,salvage_price,sales_price,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",6,0.0023344350040029717,0.2291761992429015,0.459,1,0.379,1,0.296,1,0.232,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",7,-0.012597803078560378,0.2890359165969671,0.459,1,0.459,1,0.419,1,0.338,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",8,-0.002086244626438529,0.30261338485022105,0.579,1,0.499,1,0.419,1,0.338,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",9,-0.00236819262274047,0.3173118077759109,0.618,1,0.578,1,0.498,1,0.338,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.175, 1.175, 1.1824, 1.1899]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5215, 0.5215, 0.5248, 0.5281]","[12.0, 12.0, 12.0]","[2.3133, 2.3133, 2.3279, 2.3425]",0,-0.010735857005025171,0.13881556433014947,0.2,1,0.2,1,0.2,1,0.168,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.175, 1.175, 1.1824, 1.1899]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5215, 0.5215, 0.5248, 0.5281]","[12.0, 12.0, 12.0]","[2.3133, 2.3133, 2.3279, 2.3425]",1,-0.02550715129850982,0.12479577531866556,0.2,1,0.2,1,0.2,1,0.168,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.175, 1.175, 1.1824, 1.1899]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5215, 0.5215, 0.5248, 0.5281]","[12.0, 12.0, 12.0]","[2.3133, 2.3133, 2.3279, 2.3425]",2,-0.05578160519253191,0.1082922126902496,0.2,1,0.2,1,0.2,1,0.168,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.175, 1.175, 1.1824, 1.1899]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5215, 0.5215, 0.5248, 0.5281]","[12.0, 12.0, 12.0]","[2.3133, 2.3133, 2.3279, 2.3425]",3,-0.036242097908610195,0.13537023049130228,0.264,1,0.2,1,0.2,1,0.168,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.175, 1.175, 1.1824, 1.1899]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5215, 0.5215, 0.5248, 0.5281]","[12.0, 12.0, 12.0]","[2.3133, 2.3133, 2.3279, 2.3425]",4,0.0007576068577863382,0.14544102692946587,0.2,1,0.2,1,0.2,1,0.168,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.175, 1.175, 1.1824, 1.1899]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5215, 0.5215, 0.5248, 0.5281]","[12.0, 12.0, 12.0]","[2.3133, 2.3133, 2.3279, 2.3425]",5,-0.030716609416723478,0.1328676776656279,0.268,1,0.268,1,0.236,1,0.168,1
