DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,order_cost,mat_to_prod,sales_price,num_material,salvage_price,purchase_yield,recourse_cost,process_cost,material_cost,num_product,poi_mean,total_budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,0,0.034376750399768986,0.11743258398538191,0.1878,1,0.12,1,0.068,1,0.052,1,"(20, 20, 20, 20)",247.48693365962998,"(51.7331, 78.5676, 141.0701, 59.7532)",416.9785992751032
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,1,0.10089866354377315,0.11761318853615928,0.116,1,0.116,1,0.068,1,0.052,1,"(20, 20, 20, 20)",224.52413365962997,"(62.4589, 100.0022, 140.7283, 65.4852)",405.39736448289483
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,2,0.004225473378037348,0.09937909048717819,0.134,1,0.134,1,0.084,1,0.084,1,"(20, 20, 20, 20)",261.18533365963,"(51.0879, 73.6777, 122.7813, 55.5567)",422.2278322266222
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,3,0.005452870429381394,0.46439759908360834,0.9542,1,0.8226,1,0.068,1,0.052,1,"(20, 20, 20, 20)",289.85213365962994,"(49.4432, 76.6531, 122.9762, 57.6442)",422.01414664899744
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,4,0.013420457389546548,0.08536692001048593,0.2834,1,0.116,1,0.068,1,0.052,1,"(20, 20, 20, 20)",255.98053365963,"(47.5672, 87.2008, 125.5665, 53.3014)",420.62701734149755
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,5,0.001703503182749708,0.4712113217298182,0.693,1,0.15,1,0.068,1,0.052,1,"(20, 20, 20, 20)",236.45333365963006,"(49.8341, 78.7799, 125.7883, 49.946)",422.66689850704245
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,6,0.0041095158816471045,0.07879577219864514,0.166,1,0.12,1,0.068,1,0.052,1,"(20, 20, 20, 20)",229.72893365963006,"(49.1166, 74.2626, 123.7999, 56.5522)",422.248020025321
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,7,0.006711413432866141,0.28029440599808136,0.116,1,0.116,1,0.068,1,0.052,1,"(20, 20, 20, 20)",232.76813365963005,"(48.2225, 71.9137, 124.8402, 57.2048)",421.79503866892634
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,8,0.025600783803335535,0.4664632411259655,0.118,1,0.118,1,0.068,1,0.052,1,"(20, 20, 20, 20)",279.1929336596299,"(48.8198, 87.2035, 122.3215, 63.2067)",418.50646467882143
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,9,0.005760317163370101,0.10621769896395422,0.1,1,0.1,1,0.068,1,0.052,1,"(20, 20, 20, 20)",235.68253365962994,"(46.54, 75.4343, 130.532, 49.7413)",421.9606212369319
