DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,salvage_price,material_cost,mat_to_prod,num_material,poi_mean,num_product,recourse_cost,process_cost,total_budget,purchase_yield,order_cost,sales_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp,solver_dp
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",0,0.0065663113371245,0.1788015719461339,0.338,1,0.296,1,0.264,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",1,-0.0088091705578833,0.1427920689520148,0.232,1,0.232,1,0.2,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",2,-0.0263392439145906,0.1548817881001463,0.296,1,0.296,1,0.264,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",3,-0.0020714722654628,0.1654922077086362,0.296,1,0.264,1,0.232,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",4,-0.0039681390432333,0.1589469992452443,0.264,1,0.264,1,0.232,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",5,0.0005729623962688,0.1571543574132633,0.296,1,0.2,1,0.2,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",6,0.006711768659432,0.2302406859765031,0.264,1,0.264,1,0.232,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",7,-0.0001647777905323,0.1535036391810615,0.232,1,0.2,1,0.2,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",8,-0.0064900331286264,0.1571851815577445,0.342,1,0.268,1,0.2,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.496, 0.496, 0.5394, 0.5866]","[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.7672, 2.7672, 3.0093, 3.2726]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",9,0.0043302825482828,0.1620176072050405,0.3,1,0.2,1,0.2,1,0.168,1,2,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.4933, 0.4933, 0.5797, 0.6811]","[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.5625, 2.5625, 3.0109, 3.5379]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",0,0.0003115475870735,0.2593341780312423,0.504,1,0.424,1,0.424,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.4933, 0.4933, 0.5797, 0.6811]","[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.5625, 2.5625, 3.0109, 3.5379]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",1,-0.0140524599659651,0.2214990625443119,0.419,1,0.379,1,0.338,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.4933, 0.4933, 0.5797, 0.6811]","[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.5625, 2.5625, 3.0109, 3.5379]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",2,-0.0206468467257029,0.2084612285434974,0.383,1,0.383,1,0.296,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.4933, 0.4933, 0.5797, 0.6811]","[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.5625, 2.5625, 3.0109, 3.5379]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",3,-0.0078325819363436,0.2333138683417877,0.498,1,0.458,1,0.378,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.4933, 0.4933, 0.5797, 0.6811]","[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.5625, 2.5625, 3.0109, 3.5379]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",4,-0.0105635339997352,0.2456419866330505,0.578,1,0.498,1,0.458,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.4933, 0.4933, 0.5797, 0.6811]","[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.5625, 2.5625, 3.0109, 3.5379]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",5,-0.0181858645926002,0.2616297661595106,0.498,1,0.498,1,0.458,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.4933, 0.4933, 0.5797, 0.6811]","[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[2.5625, 2.5625, 3.0109, 3.5379]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",6,-0.0009440061111688,0.2149895667317362,0.338,1,0.338,1,0.296,1,0.232,1,3,0
