DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,mat_to_prod,salvage_price,recourse_cost,total_budget,sales_price,process_cost,order_cost,poi_mean,purchase_yield,num_material,material_cost,num_product,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,6,0.14481059903617272,0.5522103938510503,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",229.72893365963006,"(77.266, 119.2175, 118.0668, 68.7034)",395.58232730002885
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,7,0.1256790489840472,0.5561864001445125,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",232.76813365963005,"(73.7912, 121.2459, 114.2143, 57.5334)",398.8645158783639
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,8,0.09085957599139964,0.5352050249386591,inf,0,0.68,1,0.68,1,0.52,1,"(20, 20, 20, 20)",279.1929336596299,"(75.8396, 87.5401, 140.4053, 66.2672)",404.83810799446195
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,9,-0.0,0.5354741838325279,1.0,1,0.68,1,0.68,1,0.52,1,"(20, 20, 20, 20)",235.68253365962994,"(45.5249, 80.8688, 120.5688, 60.6211)",420.42588116175966
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,0,0.13521946086269826,0.5506067974656533,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(56.9999, 67.9231, 78.0895, 16.968)",291.21021328274446
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,1,0.12837827308958316,0.5458294160994563,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(56.8197, 68.4997, 79.2594, 16.8127)",292.4462889046414
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,2,0.0748550564720137,0.5632866176254235,inf,0,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(65.2351, 95.658, 129.8522, 38.5151)",302.11694047285016
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,3,0.07402842286615177,0.5696398985307156,inf,0,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(66.616, 95.5011, 128.5249, 38.8025)",302.26629781872833
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,4,0.1511051937911048,0.5582624290771431,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(58.5061, 68.1859, 76.641, 14.4625)",288.33995626598266
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,5,0.15132761061563535,0.55781376876306,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(59.4069, 66.801, 77.7433, 14.5864)",288.2997696750251
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,6,-0.0,0.5404587117102765,1.0,1,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(46.2702, 72.6451, 98.112, 32.4796)",315.64185947074554
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,7,0.11608552502585219,0.535901020353697,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(53.6273, 71.3083, 80.5018, 14.9699)",294.66736026119906
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,8,0.21008199637158426,0.6064483310916855,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(55.976, 61.6073, 67.6728, 21.0409)",277.6839429617368
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,9,0.11356177850377897,0.537593315705199,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.93814847798228,"(55.0916, 66.5659, 82.2094, 17.329)",295.1233544036258
4,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,0,0.015355234792024348,0.7957627363352154,1.0,1,1.0,1,1.0,1,0.84,1,"(20, 20, 20, 20)",233.00200033,"(55.6998, 80.545, 93.9426, 39.4667)",345.54495678121236
