DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,mat_to_prod,salvage_price,recourse_cost,total_budget,sales_price,process_cost,order_cost,poi_mean,purchase_yield,num_material,material_cost,num_product,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value,problem_dp,solver_dp
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,0,0.135219461,0.550606797,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(56.9999, 67.9231, 78.0895, 16.968)",291.2102133,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,1,0.128378273,0.545829416,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(56.8197, 68.4997, 79.2594, 16.8127)",292.4462889,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,2,0.074855056,0.563286618,inf,0,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(65.2351, 95.658, 129.8522, 38.5151)",302.1169405,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,3,0.074028423,0.569639899,inf,0,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(66.616, 95.5011, 128.5249, 38.8025)",302.2662978,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,4,0.151105194,0.558262429,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(58.5061, 68.1859, 76.641, 14.4625)",288.3399563,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,5,0.151327611,0.557813769,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(59.4069, 66.801, 77.7433, 14.5864)",288.2997697,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,6,0,0.540458712,1,1,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(46.2702, 72.6451, 98.112, 32.4796)",315.6418595,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,7,0.116085525,0.53590102,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(53.6273, 71.3083, 80.5018, 14.9699)",294.6673603,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,8,0.210081996,0.606448331,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",135.9381485,"(55.976, 61.6073, 67.6728, 21.0409)",277.683943,5b,0
3,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,9,0.113561779,0.537593316,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",135.9381485,"(55.0916, 66.5659, 82.2094, 17.329)",295.1233544,5b,0
4,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,0,0.015355235,0.795762736,1,1,1,1,1,1,0.84,1,"(20, 20, 20, 20)",233.0020003,"(55.6998, 80.545, 93.9426, 39.4667)",345.5449568,9b,0
