DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,material_cost,mat_to_prod,salvage_price,order_cost,poi_mean,process_cost,purchase_yield,sales_price,total_budget,recourse_cost,num_product,num_material,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp,solver_dp
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,0,-0.0042696223694381,0.1706818065962811,0.338,1,0.296,1,0.264,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,1,-0.0091939759484699,0.1422609437295136,0.232,1,0.232,1,0.2,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,2,-0.0206376924026091,0.1577957119402594,0.296,1,0.296,1,0.264,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,3,-0.0327700067722515,0.1462562342651456,0.296,1,0.264,1,0.232,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,4,-0.0118963781391026,0.1534367865344768,0.264,1,0.264,1,0.232,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,5,0.0125544779623451,0.1657603047287031,0.378,1,0.2,1,0.2,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,6,-0.0208696656865146,0.2113230216615223,0.264,1,0.264,1,0.232,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,7,0.0174542412303379,0.1662442115119534,0.232,1,0.232,1,0.2,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,8,0.0002377052329459,0.1601714248188799,0.268,1,0.268,1,0.2,1,0.168,1,2,0
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,9,-0.0113328075644101,0.1510907146828951,0.3,1,0.2,1,0.2,1,0.168,1,2,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,0,-0.0088502756420244,0.2537583869872424,0.504,1,0.424,1,0.424,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,1,-0.0140109309743486,0.2219668535975095,0.419,1,0.379,1,0.338,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,2,-0.0134452174916646,0.2122775569929818,0.383,1,0.383,1,0.296,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,3,-0.0334090824670427,0.222875190248272,0.498,1,0.458,1,0.378,1,0.232,1,3,0
