DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,cost,lambda,people,warmup,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
6,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
6,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
7,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
7,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
8,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
8,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
9,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
9,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
10,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
10,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
11,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
11,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
12,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
12,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
13,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
13,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
14,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
14,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
15,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
15,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
16,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
16,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
