DesignPt#,sample_size,mean_vec,cov,capacity,n_fac,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.10-Solve Time,0.10-Solved? (Y/N),0.20-Solve Time,0.20-Solved? (Y/N),0.50-Solve Time,0.50-Solved? (Y/N)
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,4,0.12068965517241372,0.4170689655172414,inf,0,inf,0,0.94,1,0.065,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,5,0.13793103448275856,0.2900862068965516,inf,0,inf,0,0.955,1,0.12,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,6,0.10344827586206887,0.33396551724137913,inf,0,inf,0,0.84,1,0.155,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,7,0.24137931034482743,0.25060344827586195,inf,0,inf,0,inf,0,0.025,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,8,0.08620689655172403,0.2666379310344827,inf,0,0.495,1,0.495,1,0.15,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,9,0.17241379310344826,0.22568965517241374,inf,0,inf,0,0.215,1,0.035,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,10,0.1551724137931034,0.21068965517241373,inf,0,inf,0,0.16,1,0.05,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,11,-0.017241379310344845,0.09387931034482759,0.375,1,0.375,1,0.07,1,0.07,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,12,-0.0,0.1731896551724138,0.265,1,0.265,1,0.16,1,0.15,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,13,0.10344827586206887,0.15706896551724128,inf,0,inf,0,0.06,1,0.06,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,14,-0.03448275862068969,0.14551724137931032,0.315,1,0.315,1,0.26,1,0.065,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,15,0.12068965517241372,0.1676724137931034,inf,0,0.055,1,0.055,1,0.055,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,16,0.06896551724137918,0.16862068965517232,inf,0,0.195,1,0.195,1,0.11,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,17,0.10344827586206887,0.1631896551724137,inf,0,inf,0,0.15,1,0.045,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,18,0.2758620689655171,0.357758620689655,inf,0,inf,0,inf,0,0.125,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,19,0.32758620689655166,0.5537068965517242,inf,0,inf,0,inf,0,0.725,1
