DesignPt#,lambda,mu,warmup,people,MacroRep#,avg_sojourn_time,avg_waiting_time,frac_cust_wait
13,1.5,3.0,20,46,0,0.5434473879349442,0.2511355145890698,0.45652173913043476
13,1.5,3.0,20,46,1,0.6577254799498475,0.2550533227208151,0.5652173913043478
13,1.5,3.0,20,46,2,0.36464882811590804,0.10771718334696548,0.32608695652173914
13,1.5,3.0,20,46,3,0.654300439738477,0.32794711560274087,0.5652173913043478
13,1.5,3.0,20,46,4,0.48520522765916674,0.20338510668953524,0.43478260869565216
14,1.5,3.0,20,35,0,0.47749791790665097,0.18223962405437755,0.4
14,1.5,3.0,20,35,1,0.7154757631626991,0.2700516039234758,0.5142857142857142
14,1.5,3.0,20,35,2,0.3178791085253083,0.08249584466660136,0.2857142857142857
14,1.5,3.0,20,35,3,0.6532125625138347,0.3497683216451505,0.6285714285714286
14,1.5,3.0,20,35,4,0.5168908942012799,0.25779954315042936,0.4857142857142857
15,1.5,3.0,20,51,0,0.5713894101880054,0.25053647266681517,0.47058823529411764
15,1.5,3.0,20,51,1,0.6143906990333495,0.2370107906616276,0.5882352941176471
15,1.5,3.0,20,51,2,0.3484292947150069,0.10339482289657313,0.3137254901960784
15,1.5,3.0,20,51,3,0.6344946267583205,0.32239607373725115,0.5490196078431373
15,1.5,3.0,20,51,4,0.46466518915356914,0.18869372909205534,0.43137254901960786
16,1.5,3.0,20,54,0,0.5526085515525115,0.23661777974088097,0.4444444444444444
16,1.5,3.0,20,54,1,0.5996865211326768,0.22536641672064842,0.5740740740740741
16,1.5,3.0,20,54,2,0.3470722209792484,0.09765066606898573,0.2962962962962963
16,1.5,3.0,20,54,3,0.6036710743278285,0.30448518075184833,0.5185185185185185
16,1.5,3.0,20,54,4,0.5113203577208272,0.1980271810449095,0.42592592592592593
