DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
26,False,0.75,0.3,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
26,False,0.75,0.3,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
27,False,0.95,0.75,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
27,False,0.95,0.75,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
28,False,0.9,0.64,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
28,False,0.9,0.64,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
29,False,0.85,0.53,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
29,False,0.85,0.53,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
30,False,0.4,0.34,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
30,False,0.4,0.34,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
31,False,0.2,0.71,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
31,False,0.2,0.71,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
32,False,0.5,0.79,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
32,False,0.5,0.79,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
33,False,0.55,0.38,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
33,False,0.55,0.38,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
