DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
7,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
7,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
8,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
8,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
9,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
9,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
10,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
10,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
11,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
11,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
12,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
12,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
13,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
13,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
14,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
14,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
15,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
15,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
16,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
16,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
