DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
13,True,9,"(2.0, 2.0)",500,4,-0.0369927507179456,0.014801952731484283,0.054,1,0.054,1,0.054,1,0.054,1
14,True,5,"(2.0, 2.0)",500,0,-0.04075315425298346,-0.012251264060487845,0.02,1,0.02,1,0.02,1,0.02,1
14,True,5,"(2.0, 2.0)",500,1,-0.09047152187357807,-0.06028913993542262,0.03,1,0.03,1,0.03,1,0.02,1
14,True,5,"(2.0, 2.0)",500,2,0.06338973674291591,0.08625422019311585,inf,0,0.03,1,0.03,1,0.02,1
14,True,5,"(2.0, 2.0)",500,3,-0.09652082028894267,-0.05984567371722154,0.03,1,0.03,1,0.02,1,0.02,1
14,True,5,"(2.0, 2.0)",500,4,-0.043473731263639986,-0.013202288294134914,0.07,1,0.05,1,0.03,1,0.02,1
15,True,11,"(2.0, 2.0)",500,0,-0.035938936340844815,0.02104593120302483,0.044,1,0.044,1,0.044,1,0.044,1
15,True,11,"(2.0, 2.0)",500,1,-0.09007075654119746,-0.03621275802196603,0.066,1,0.066,1,0.044,1,0.044,1
15,True,11,"(2.0, 2.0)",500,2,0.060266393019844704,0.12698607056451752,inf,0,0.264,1,0.066,1,0.044,1
15,True,11,"(2.0, 2.0)",500,3,-0.09469956491093287,-0.03404110083505518,0.044,1,0.044,1,0.044,1,0.044,1
15,True,11,"(2.0, 2.0)",500,4,-0.043599447034447014,0.006190921816938477,0.066,1,0.044,1,0.044,1,0.044,1
16,True,12,"(2.0, 2.0)",500,0,-0.035938936340844815,0.026226373707012973,0.048,1,0.048,1,0.048,1,0.048,1
16,True,12,"(2.0, 2.0)",500,1,-0.09007075654119746,-0.018955094060625132,0.096,1,0.096,1,0.048,1,0.048,1
16,True,12,"(2.0, 2.0)",500,2,0.06447705034614104,0.15177526418791903,inf,0,0.168,1,0.072,1,0.072,1
16,True,12,"(2.0, 2.0)",500,3,-0.09469956491093287,-0.012512636656621844,0.216,1,0.048,1,0.048,1,0.048,1
16,True,12,"(2.0, 2.0)",500,4,-0.043599447034447014,0.030767922989552367,0.072,1,0.072,1,0.072,1,0.072,1
