DesignPt#,crn_across_solns,sample_size,initial_solution,budget,sales_price,purchase_price,Burr_k,salvage_price,Burr_c,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
14,True,10,"(0.0,)",1000,9.0,1.0,20.0,1.0,2.0,0,0.22141012240251234,0.23698191995446208,inf,0,inf,0,inf,0,0.02,1
14,True,10,"(0.0,)",1000,9.0,1.0,20.0,1.0,2.0,1,0.44422068796039976,0.45929155246128134,inf,0,inf,0,inf,0,0.03,1
14,True,10,"(0.0,)",1000,9.0,1.0,20.0,1.0,2.0,2,-0.0,0.026710091012606723,0.03,1,0.03,1,0.03,1,0.03,1
14,True,10,"(0.0,)",1000,9.0,1.0,20.0,1.0,2.0,3,0.3892092207657349,0.4014250363504202,inf,0,inf,0,inf,0,0.02,1
14,True,10,"(0.0,)",1000,9.0,1.0,20.0,1.0,2.0,4,0.2827417828619388,0.29966308099830175,inf,0,inf,0,inf,0,0.03,1
15,True,10,"(0.0,)",1000,9.0,2.5,20.0,1.0,2.0,0,0.2289012690676576,0.270490546887205,inf,0,inf,0,inf,0,0.05,1
15,True,10,"(0.0,)",1000,9.0,2.5,20.0,1.0,2.0,1,0.7305038484063163,0.7212373628888655,inf,0,inf,0,inf,0,0.03,1
15,True,10,"(0.0,)",1000,9.0,2.5,20.0,1.0,2.0,2,-0.0,-0.16840592931219345,0.04,1,0.04,1,0.04,1,0.04,1
15,True,10,"(0.0,)",1000,9.0,2.5,20.0,1.0,2.0,3,0.4967212347021724,0.5176262670752703,inf,0,inf,0,inf,0,0.16,1
15,True,10,"(0.0,)",1000,9.0,2.5,20.0,1.0,2.0,4,0.35504052701804206,0.38140801132869606,inf,0,inf,0,inf,0,0.02,1
16,True,10,"(0.0,)",1000,9.0,2.75,20.0,1.0,2.0,0,0.24893161592424162,0.29223240637100395,inf,0,inf,0,inf,0,0.05,1
16,True,10,"(0.0,)",1000,9.0,2.75,20.0,1.0,2.0,1,0.7369182810016827,0.7472829170245695,inf,0,inf,0,inf,0,0.03,1
16,True,10,"(0.0,)",1000,9.0,2.75,20.0,1.0,2.0,2,-0.3122081318159031,-0.23267478763554306,0.04,1,0.04,1,0.04,1,0.04,1
16,True,10,"(0.0,)",1000,9.0,2.75,20.0,1.0,2.0,3,0.5282659506264771,0.5495459545971867,inf,0,inf,0,inf,0,inf,0
16,True,10,"(0.0,)",1000,9.0,2.75,20.0,1.0,2.0,4,0.32012041746662095,0.35118281047550975,inf,0,inf,0,inf,0,0.02,1
