DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,sales_price,purchase_price,Burr_c,Burr_k,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
27,False,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9266767600658463,inf,0,inf,0,inf,0,inf,0
28,False,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,1.0,0.906,inf,0,inf,0,inf,0,inf,0
28,False,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,1.0,0.906,inf,0,inf,0,inf,0,inf,0
28,False,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,1.0,0.906,inf,0,inf,0,inf,0,inf,0
28,False,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,1.0,0.906,inf,0,inf,0,inf,0,inf,0
28,False,0.888,1.06,1.5,0.5,94,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,1.0,0.906,inf,0,inf,0,inf,0,inf,0
29,False,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
29,False,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
29,False,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
29,False,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
29,False,0.831,0.88,1.5,0.5,72,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.928,inf,0,inf,0,inf,0,inf,0
30,False,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
30,False,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
30,False,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
30,False,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
30,False,0.325,0.56,1.5,0.5,61,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9390000000000001,inf,0,inf,0,inf,0,inf,0
31,False,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
31,False,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
31,False,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
31,False,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
31,False,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
32,False,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9119304039077706,inf,0,inf,0,inf,0,inf,0
32,False,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9078815817700087,inf,0,inf,0,inf,0,inf,0
32,False,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.91172277200327,inf,0,inf,0,inf,0,inf,0
32,False,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9159792260455326,inf,0,inf,0,inf,0,inf,0
32,False,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9121380358122713,inf,0,inf,0,inf,0,inf,0
33,False,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.418112180027045,0.948624576451696,inf,0,inf,0,inf,0,1.0,1
33,False,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.15106071672964144,0.9460711045625277,inf,0,inf,0,0.991,1,0.991,1
33,False,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.9527772145417082,inf,0,inf,0,inf,0,inf,0
33,False,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.3134788981745066,0.9325265408227535,inf,0,inf,0,inf,0,0.964,1
33,False,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9453024659796863,inf,0,inf,0,inf,0,inf,0
