DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,sales_price,purchase_price,Burr_c,Burr_k,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
2,True,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,-0.0,0.9218142446020673,1.0,1,1.0,1,1.0,1,1.0,1
2,True,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.20395449995683412,0.924513459360575,inf,0,inf,0,inf,0,1.0,1
2,True,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.4301906520558945,0.9255516188830781,inf,0,inf,0,inf,0,1.0,1
3,True,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.959612233098243,inf,0,inf,0,inf,0,inf,0
3,True,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9554595950082307,inf,0,inf,0,inf,0,inf,0
3,True,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.961688552143249,inf,0,inf,0,inf,0,inf,0
3,True,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9603389447639951,inf,0,inf,0,inf,0,inf,0
3,True,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.962,inf,0,inf,0,inf,0,inf,0
4,True,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
4,True,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
4,True,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
4,True,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
4,True,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
