DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,variable_cost,n_days,backorder_cost,demand_mean,warmup,holding_cost,fixed_cost,lead_mean,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.4601594773135578,0.5271819838545803,inf,0,inf,0,inf,0,0.456,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.41259537787746614,0.4649731228734988,inf,0,inf,0,inf,0,0.174,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.3544457349536832,0.41340768266690797,inf,0,inf,0,inf,0,0.056,1
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.6032735853737159,0.6277951378257135,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.44870147971651,0.4876680576549363,inf,0,inf,0,inf,0,0.124,1
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.7372731021675848,0.7666732388421902,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.7280758674754,0.7447575954327583,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.6763468582065522,0.7053319842037834,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.11226709691990885,0.16574077660987777,inf,0,0.174,1,0.136,1,0.056,1
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.6977834952637043,0.7149812718200795,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.5491214947182305,0.5803310674281428,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.4762421541738555,0.515023811697881,inf,0,inf,0,inf,0,0.12,1
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.4722186550427232,0.5017231263381239,inf,0,inf,0,inf,0,0.056,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.09625975241226765,0.25236971969596894,inf,0,0.35,1,0.35,1,0.195,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.14290815654038969,0.13749440629180115,inf,0,0.116,1,0.116,1,0.072,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.07885153477293508,0.1437914696719214,inf,0,0.292,1,0.088,1,0.072,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.14402667568499636,0.23967092634959813,inf,0,inf,0,0.136,1,0.136,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.24929286158575892,0.22682783512805219,inf,0,inf,0,0.056,1,0.04,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.117369922349029,0.17867008574182836,inf,0,inf,0,0.056,1,0.04,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,-0.06618365479132608,0.20193919022083168,0.825,1,0.825,1,0.128,1,0.128,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.08013732992248823,0.19731986160871565,inf,0,0.636,1,0.132,1,0.04,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.18077521880616276,0.28824218814987007,inf,0,inf,0,0.338,1,0.152,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.05357952991973161,0.12515019766241556,0.22,1,0.22,1,0.056,1,0.04,1
