DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,order_cost,mat_to_prod,process_cost,num_material,salvage_price,poi_mean,sales_price,material_cost,purchase_yield,total_budget,num_product,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",6,0.0641899248833182,0.3167869081229466,0.338,1,0.338,1,0.296,1,0.232,1,2
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",7,-0.011777774370301,0.3076503732792812,0.925,1,0.779,1,0.464,1,0.264,1,2
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",8,0.3420430245143561,0.412763886652436,0.5,1,0.5,1,0.5,1,0.232,1,2
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",9,0.0484317137351112,0.2602538833210159,0.545,1,0.338,1,0.338,1,0.296,1,2
3,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.4933, 0.4933, 0.5797, 0.6811]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.5625, 2.5625, 3.0109, 3.5379]",0,0.8202309062853609,0.3220962424724281,0.72,1,0.72,1,0.581,1,0.232,1,3
3,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.4933, 0.4933, 0.5797, 0.6811]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.5625, 2.5625, 3.0109, 3.5379]",1,-0.0316491677642606,0.2932378086569374,0.5,1,0.5,1,0.419,1,0.379,1,3
3,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.4933, 0.4933, 0.5797, 0.6811]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.5625, 2.5625, 3.0109, 3.5379]",2,-0.0451142111483133,0.2099860215962891,0.419,1,0.338,1,0.338,1,0.264,1,3
3,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.4933, 0.4933, 0.5797, 0.6811]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.5625, 2.5625, 3.0109, 3.5379]",3,1.1389001353975343,0.7676538672076607,0.501,1,0.501,1,0.379,1,0.264,1,3
3,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.4933, 0.4933, 0.5797, 0.6811]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.5625, 2.5625, 3.0109, 3.5379]",4,0.4218086081392002,0.5368272325970233,0.465,1,0.465,1,0.424,1,0.264,1,3
3,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.4933, 0.4933, 0.5797, 0.6811]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.5625, 2.5625, 3.0109, 3.5379]",5,-0.0160081285094149,0.3357176166689574,0.378,1,0.338,1,0.338,1,0.264,1,3
