solver_dp,problem_dp,Average Optimality Gap,gamma_1,gamma_2,eta_1,eta_2
4.0,12.0,0.45104374205076087,2.5,0.9,0.3,0.6
5.0,12.0,0.00612960401104046,3.0,0.4,0.3,0.8
6.0,12.0,-0.0072795457649539,2.3,0.3,0.5,0.6
7.0,12.0,0.13475830659006963,2.1,0.8,0.4,0.9
8.0,12.0,-0.015011408189219222,2.0,0.5,0.3,0.7
9.0,12.0,0.005840990697884009,2.4,0.1,0.2,0.8
10.0,12.0,0.33959045467287413,2.9,0.7,0.2,0.7
11.0,12.0,0.010937907399197618,2.8,0.6,0.5,0.8
12.0,12.0,0.0040990111844635396,2.6,0.4,0.4,0.5
13.0,12.0,-0.011987844961081632,1.5,0.2,0.3,0.9
14.0,12.0,0.04988510609947432,1.0,0.7,0.4,0.6
15.0,12.0,-0.0071854391843923894,1.8,0.8,0.1,0.8
16.0,12.0,-0.01198579620339385,1.9,0.2,0.2,0.5
0.0,13.0,-0.015266759426413451,1.5,0.5,0.1,0.8
1.0,13.0,0.1603254953040641,1.1,0.3,0.5,0.7
2.0,13.0,-0.01603516483565793,1.3,0.5,0.1,0.6
3.0,13.0,-0.01102319369264702,1.4,0.6,0.2,0.9
4.0,13.0,0.9784590923722364,2.5,0.9,0.3,0.6
5.0,13.0,0.01692666131630713,3.0,0.4,0.3,0.8
6.0,13.0,0.11355358973366707,2.3,0.3,0.5,0.6
7.0,13.0,0.08331689201738164,2.1,0.8,0.4,0.9
8.0,13.0,-0.015713417143633557,2.0,0.5,0.3,0.7
9.0,13.0,0.09947833901644965,2.4,0.1,0.2,0.8
10.0,13.0,0.2275419920123575,2.9,0.7,0.2,0.7
11.0,13.0,0.09743253216216394,2.8,0.6,0.5,0.8
12.0,13.0,0.07557494612452928,2.6,0.4,0.4,0.5
13.0,13.0,0.038183774296011795,1.5,0.2,0.3,0.9
14.0,13.0,0.1185501476604531,1.0,0.7,0.4,0.6
15.0,13.0,0.012831323241869289,1.8,0.8,0.1,0.8
16.0,13.0,0.00019653466253110146,1.9,0.2,0.2,0.5
0.0,14.0,-0.014001274072566511,1.5,0.5,0.1,0.8
1.0,14.0,0.08190916767695997,1.1,0.3,0.5,0.7
2.0,14.0,-0.01321099358226443,1.3,0.5,0.1,0.6
3.0,14.0,-0.01322625703279719,1.4,0.6,0.2,0.9
4.0,14.0,0.5296167692806344,2.5,0.9,0.3,0.6
5.0,14.0,0.01624194968188569,3.0,0.4,0.3,0.8
6.0,14.0,0.008586227334541941,2.3,0.3,0.5,0.6
7.0,14.0,0.2707783265038584,2.1,0.8,0.4,0.9
8.0,14.0,-0.00982626381070514,2.0,0.5,0.3,0.7
9.0,14.0,0.0024032707272878214,2.4,0.1,0.2,0.8
10.0,14.0,0.36200600940715827,2.9,0.7,0.2,0.7
11.0,14.0,-0.0011567953348203413,2.8,0.6,0.5,0.8
12.0,14.0,0.004539618152427329,2.6,0.4,0.4,0.5
13.0,14.0,0.024412166075075924,1.5,0.2,0.3,0.9
14.0,14.0,0.11140581779506883,1.0,0.7,0.4,0.6
15.0,14.0,0.1173894101470236,1.8,0.8,0.1,0.8
16.0,14.0,-0.00881631184215032,1.9,0.2,0.2,0.5
0.0,15.0,-0.012690065458635491,1.5,0.5,0.1,0.8
1.0,15.0,0.07837088799836552,1.1,0.3,0.5,0.7
2.0,15.0,-0.00832378477577561,1.3,0.5,0.1,0.6
3.0,15.0,-0.0113981874426584,1.4,0.6,0.2,0.9
4.0,15.0,0.5092547383880767,2.5,0.9,0.3,0.6
5.0,15.0,0.0005139443614948204,3.0,0.4,0.3,0.8
6.0,15.0,0.014561211956442133,2.3,0.3,0.5,0.6
7.0,15.0,0.09098082810240812,2.1,0.8,0.4,0.9
8.0,15.0,0.021743162832294383,2.0,0.5,0.3,0.7
9.0,15.0,0.02460796135154436,2.4,0.1,0.2,0.8
10.0,15.0,0.12244676756334127,2.9,0.7,0.2,0.7
11.0,15.0,0.03862454471687343,2.8,0.6,0.5,0.8
12.0,15.0,0.1287699677398581,2.6,0.4,0.4,0.5
13.0,15.0,0.01801315425427916,1.5,0.2,0.3,0.9
14.0,15.0,0.03077269325906983,1.0,0.7,0.4,0.6
15.0,15.0,0.15675631042143806,1.8,0.8,0.1,0.8
16.0,15.0,-0.005561148039556501,1.9,0.2,0.2,0.5
0.0,16.0,-0.0114477612345894,1.5,0.5,0.1,0.8
1.0,16.0,-0.005433252935768959,1.1,0.3,0.5,0.7
2.0,16.0,-0.011650598911402119,1.3,0.5,0.1,0.6
3.0,16.0,-0.010588971979101669,1.4,0.6,0.2,0.9
4.0,16.0,0.9561181561387488,2.5,0.9,0.3,0.6
5.0,16.0,0.12739224888543954,3.0,0.4,0.3,0.8
6.0,16.0,-0.011534385133618569,2.3,0.3,0.5,0.6
7.0,16.0,0.14228566263665934,2.1,0.8,0.4,0.9
8.0,16.0,-0.012258250148713328,2.0,0.5,0.3,0.7
9.0,16.0,0.016988532551914605,2.4,0.1,0.2,0.8
10.0,16.0,0.3139280669685446,2.9,0.7,0.2,0.7
11.0,16.0,0.03889032947552813,2.8,0.6,0.5,0.8
12.0,16.0,0.034169653660195594,2.6,0.4,0.4,0.5
13.0,16.0,-0.00931577561576206,1.5,0.2,0.3,0.9
14.0,16.0,0.03697789795353434,1.0,0.7,0.4,0.6
15.0,16.0,0.04263084195319213,1.8,0.8,0.1,0.8
16.0,16.0,-0.009900875845423878,1.9,0.2,0.2,0.5
0.0,17.0,-0.017840998141442972,1.5,0.5,0.1,0.8
1.0,17.0,-0.011501898048475661,1.1,0.3,0.5,0.7
