DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,poi_mean,material_cost,purchase_yield,process_cost,mat_to_prod,sales_price,salvage_price,num_material,order_cost,total_budget,num_product,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",0,0.002804086883681637,0.14408437300639684,0.2,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",1,0.0033886806337196478,0.1436050019354758,0.2,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",2,0.01705309434126367,0.15084697634579464,0.2,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",3,0.029458460163478244,0.17387332524409024,0.459,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",4,0.03736082092432684,0.16965069337309388,0.232,1,0.232,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",5,0.029820578753997837,0.1527404973985364,0.2,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",6,0.012439797069152969,0.14271610302538756,0.2,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",7,0.047765525488068734,0.1665965962531913,0.232,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",8,0.005323114528016298,0.15218601321743003,0.2,1,0.2,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.85, 0.9244, 1.0053, 1.0932]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.3825, 0.416, 0.4524, 0.4919]",4,0,600,3,"[1.3281, 1.4443, 1.5707, 1.7082]",9,0.010302609796644938,0.1600921334946413,0.2,1,0.2,1,0.2,1,0.136,1
