DesignPt#,sample_size,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,Area Under Progress Curve,Solve Time
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.17333654666613882,inf
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,-0.10527414334880611,0.057
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.2587011859592718,inf
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.0374107634385321,0.114
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.1854809746890248,0.304
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.24887053459055164,0.266
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.13042863751885186,0.266
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.24457920763707341,0.198
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.6274119915690893,inf
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.2603710617024128,0.45
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.22637003161890418,0.54
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,-0.0647927804044432,0.108
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.20618897488920557,inf
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.19086277882056896,0.414
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.11418508180936654,0.072
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.2712672990377047,0.504
8,18,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.11285625636572348,0.18
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.27736510184738944,0.242
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.6672029369863388,inf
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.15645310289336545,0.264
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.2461655304078385,0.418
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,-0.06827139341030769,0.044
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.3294719554640364,inf
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.06855164635546229,0.198
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.11932830804821883,0.066
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.21566382094952966,0.44
9,22,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.15651037288227188,0.176
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.3265439431628635,0.308
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.4381696521420949,inf
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.19233942911035365,0.308
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.20697062490903134,0.168
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,0.10787657296599798,0.392
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.29051769163100455,inf
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.23646602294823252,0.084
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.2248679717158733,0.224
10,28,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.16719967505729552,0.224
